Swat_Edit (Swat Parameters Editor 2012) Version 2.5.3.33454

________________________________________________________________________________________________________________________________________________________________________________________________________


v__ESCO.hru 0.1

Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.5'  Old: '0.200000' }  |  File: '000010001.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.5'  Old: '0.200000' }  |  File: '000010002.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.85'  Old: '0.200000' }  |  File: '000010003.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.85'  Old: '0.200000' }  |  File: '000010004.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.85'  Old: '0.200000' }  |  File: '000010005.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.85'  Old: '0.200000' }  |  File: '000010006.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.5'  Old: '0.200000' }  |  File: '000020001.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.5'  Old: '0.200000' }  |  File: '000020002.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.5'  Old: '0.200000' }  |  File: '000020003.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.5'  Old: '0.200000' }  |  File: '000020004.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.5'  Old: '0.200000' }  |  File: '000020005.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.85'  Old: '0.200000' }  |  File: '000020006.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.85'  Old: '0.200000' }  |  File: '000020007.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.5'  Old: '0.200000' }  |  File: '000030001.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.5'  Old: '0.200000' }  |  File: '000030002.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.5'  Old: '0.200000' }  |  File: '000030003.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.5'  Old: '0.200000' }  |  File: '000030004.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.5'  Old: '0.200000' }  |  File: '000030005.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.85'  Old: '0.200000' }  |  File: '000030006.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.85'  Old: '0.200000' }  |  File: '000030007.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.85'  Old: '0.200000' }  |  File: '000030008.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.85'  Old: '0.200000' }  |  File: '000030009.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.85'  Old: '0.200000' }  |  File: '000030010.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.85'  Old: '0.200000' }  |  File: '000030011.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.85'  Old: '0.200000' }  |  File: '000030012.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.5'  Old: '0.200000' }  |  File: '000040001.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.5'  Old: '0.200000' }  |  File: '000040002.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.5'  Old: '0.200000' }  |  File: '000040003.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.5'  Old: '0.200000' }  |  File: '000040004.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.5'  Old: '0.200000' }  |  File: '000040005.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.85'  Old: '0.200000' }  |  File: '000040006.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.85'  Old: '0.200000' }  |  File: '000040007.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.85'  Old: '0.200000' }  |  File: '000040008.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.85'  Old: '0.200000' }  |  File: '000040009.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.85'  Old: '0.200000' }  |  File: '000040010.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.85'  Old: '0.200000' }  |  File: '000040011.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.5'  Old: '0.200000' }  |  File: '000050001.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.85'  Old: '0.200000' }  |  File: '000050002.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.85'  Old: '0.200000' }  |  File: '000050003.hru'  |  Line: '10'
Parameter: 'ESCO'  |  Value: { New: '0.100000'  Original: '0.85'  Old: '0.200000' }  |  File: '000050004.hru'  |  Line: '10'

Modified Values:  40 in 40 files

________________________________________________________________________________________________________________________________________________________________________________________________________


v__EPCO.hru 0.5

Parameter: 'EPCO'  |  Value: { New: '0.500000'  Original: '0.1'  Old: '0.200000' }  |  File: '000010001.hru'  |  Line: '11'
Parameter: 'EPCO'  |  Value: { New: '0.500000'  Original: '0.1'  Old: '0.200000' }  |  File: '000010002.hru'  |  Line: '11'
Parameter: 'EPCO'  |  Value: { New: '0.500000'  Original: '0.1'  Old: '0.200000' }  |  File: '000010003.hru'  |  Line: '11'
Parameter: 'EPCO'  |  Value: { New: '0.500000'  Original: '0.1'  Old: '0.200000' }  |  File: '000010004.hru'  |  Line: '11'
Parameter: 'EPCO'  |  Value: { New: '0.500000'  Original: '0.1'  Old: '0.200000' }  |  File: '000010005.hru'  |  Line: '11'
